Time,Quadrant Number,Ball Colour,Type
0.0,2,orange,Entry
0.0,2,green,Exit
0.0,2,white,Entry
0.0332851712221175,2,orange,Exit
0.0332851712221175,2,green,Entry
0.0332851712221175,2,white,Exit
0.066570342444235,2,orange,Entry
0.066570342444235,2,green,Exit
0.066570342444235,2,white,Entry
0.09985551366635251,2,orange,Exit
0.09985551366635251,2,green,Entry
0.09985551366635251,2,white,Exit
0.13314068488847,2,orange,Entry
0.13314068488847,2,green,Exit
0.13314068488847,2,white,Entry
0.1664258561105875,2,orange,Exit
0.1664258561105875,2,green,Entry
0.1664258561105875,2,white,Exit
0.19971102733270502,2,orange,Entry
0.19971102733270502,2,green,Exit
0.19971102733270502,2,white,Entry
0.2329961985548225,2,orange,Exit
0.2329961985548225,2,green,Entry
0.2329961985548225,2,white,Exit
0.26628136977694,2,orange,Entry
0.26628136977694,2,green,Exit
0.26628136977694,2,white,Entry
0.2995665409990575,1,orange,Entry
0.2995665409990575,1,green,Exit
0.2995665409990575,2,white,Exit
0.332851712221175,2,orange,Entry
0.332851712221175,2,green,Exit
0.332851712221175,2,white,Entry
0.36613688344329254,2,orange,Exit
0.36613688344329254,2,green,Entry
0.36613688344329254,2,white,Exit
0.39942205466541003,2,orange,Entry
0.39942205466541003,2,green,Exit
0.39942205466541003,2,white,Entry
0.4327072258875275,1,orange,Entry
0.4327072258875275,1,green,Exit
0.4327072258875275,2,white,Exit
0.465992397109645,2,orange,Entry
0.465992397109645,2,green,Exit
0.465992397109645,2,white,Entry
0.4992775683317625,1,orange,Entry
0.4992775683317625,1,green,Exit
0.4992775683317625,2,white,Exit
0.53256273955388,2,orange,Entry
0.53256273955388,2,green,Exit
0.53256273955388,2,white,Entry
0.5658479107759975,1,orange,Entry
0.5658479107759975,1,green,Exit
0.5658479107759975,2,white,Exit
0.599133081998115,2,orange,Entry
0.599133081998115,2,green,Exit
0.599133081998115,2,white,Entry
0.6324182532202325,1,orange,Entry
0.6324182532202325,1,green,Exit
0.6324182532202325,2,white,Exit
0.66570342444235,2,orange,Entry
0.66570342444235,2,green,Exit
0.66570342444235,2,white,Entry
0.6989885956644675,2,orange,Exit
0.6989885956644675,2,green,Entry
0.6989885956644675,2,white,Exit
0.7322737668865851,2,orange,Entry
0.7322737668865851,2,green,Exit
0.7322737668865851,2,white,Entry
